lane,lane_label,run_id,item_id,batch_label,condition,difficulty,correct_key,seed_doc_path,lane_decision,lane_source_alignment,lane_distractor_quality,lane_stem_clarity,lane_difficulty_match_raw,lane_difficulty_match_pass,reviewer_decision,agrees_with_reviewer,flag_ambiguity,chunks_support_question,correct_answer_verifiable,distractors_clearly_wrong,reviewer_source_call_accurate,lane_notes
codex,Codex,20260330_003121Z_local_local,item_22,local-local,local/local,easy,B|C|D|B,C:\Users\kadek\source\repos\domainRag\example1\Newsboy Model with Pricing.pdf,REJECT,2,1,1,2,False,REVISE,False,True,False,False,False,False,This row is malformed in the same way as the earlier multi-question failures. Missing stem plus multi-answer key makes it unsuitable for revision-only cleanup.
claude,Claude,20260330_003121Z_local_local,item_23,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Issues in Supply Chain Strategy.pdf,REVISE,3,2,4,4,True,REVISE,True,False,True,False,False,True,"The chunks discuss global supply chain complexity at a high level but do not explicitly mention 'balancing global product volumes with regional market presence' as a specific challenge. Option D (constant oil prices) is a trivially dismissible distractor, and the correct answer requires inference rather than direct lookup."
codex,Codex,20260330_003121Z_local_local,item_23,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Issues in Supply Chain Strategy.pdf,ACCEPT,5,4,5,3,False,REVISE,False,False,True,True,True,False,"The keyed answer is directly supported by the globalization chunk. The item is simple, but difficulty mismatch alone is not enough to reject or revise it."
claude,Claude,20260330_003121Z_local_local,item_24,local-local,local/local,easy,A|B,C:\Users\kadek\source\repos\domainRag\example1\Inventory and EOQ Models.pdf,REJECT,3,3,3,3,False,REVISE,False,True,True,False,False,False,"The correct_key A|B indicates two correct answers, which is a generation error — a single-answer MCQ cannot have two correct keys. The question also has a subtle logical issue: the 'no shortages' assumption in EOQ means shortages are excluded from the model, so statements about their effect on cost are ambiguous and not directly verifiable from the chunks."
codex,Codex,20260330_003121Z_local_local,item_24,local-local,local/local,easy,A|B,C:\Users\kadek\source\repos\domainRag\example1\Inventory and EOQ Models.pdf,REJECT,2,1,3,3,False,REVISE,False,True,False,False,False,False,"The answer key itself is invalid because it lists multiple correct options, and the stem asks for an implication the context does not cleanly establish. Reject."
claude,Claude,20260330_003121Z_local_local,item_25,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\Issues in Supply Chain Strategy.pdf,REVISE,4,3,4,4,True,REVISE,True,False,True,True,True,True,"Chunk references supply chain focus reducing complexity, grounding answer A. However, the stem is very sparse and the other options (operational tasks, fixed costs, variable costs) could all plausibly be things focus reduces, making the distractors somewhat ambiguous without stronger chunk grounding."
codex,Codex,20260330_003121Z_local_local,item_25,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\Issues in Supply Chain Strategy.pdf,ACCEPT,5,3,5,5,True,REVISE,False,False,True,True,True,False,"Straightforward and well supported. The distractors are weaker than ideal, but the question still functions adequately as an easy item."
claude,Claude,20260330_003121Z_local_local,item_26,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Inventory and EOQ Models.pdf,REVISE,3,3,4,4,True,ACCEPT,False,False,False,False,True,False,"The retrieved chunks cover EOQ with backorders and EOQ sensitivity but do not explicitly discuss the Economic Production Quantity (EPQ) model's assumption that P > D. The correct answer B is standard knowledge but not directly verifiable from the provided chunk content, reducing source alignment."
codex,Codex,20260330_003121Z_local_local,item_26,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Inventory and EOQ Models.pdf,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Direct EPQ assumption item. Source support is explicit.
claude,Claude,20260330_003121Z_local_local,item_27,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,REVISE,5,4,4,2,False,ACCEPT,False,False,True,True,True,True,"The chunk explicitly defines a capacity-constrained production sequence exactly as stated in answer B. However, this is a highly technical DELS concept that is inappropriate for 'easy' difficulty — it requires understanding of the capacitated production model, making the difficulty label a significant mismatch."
codex,Codex,20260330_003121Z_local_local,item_27,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Definition of a capacity-constrained production sequence is quoted almost verbatim in the source.
claude,Claude,20260330_003121Z_local_local,item_28,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Michael-Adjemian.pptx,REVISE,4,4,4,4,True,REVISE,True,True,True,True,True,True,Chunk states 'no statistically significant negative effects' while answer B says 'unaffected' — a slight overstatement that introduces ambiguity for a knowledgeable reader. The agricultural sector chunk supports the general direction of B but the precise wording diverges from the research finding.
codex,Codex,20260330_003121Z_local_local,item_28,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Michael-Adjemian.pptx,ACCEPT,5,3,5,5,True,REVISE,False,False,True,True,True,False,"The agricultural-finance finding is directly supported. The item is a bit wordy, but still acceptable as written."
claude,Claude,20260330_003121Z_local_local,item_29,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,REVISE,5,2,5,4,True,REVISE,True,False,True,True,False,True,"Chunk directly states the cost-service balance objective of inventory management, grounding answer B perfectly. However, distractor D (eliminate customer service) is trivially absurd and easily dismissed, substantially reducing distractor quality below acceptable standards."
codex,Codex,20260330_003121Z_local_local,item_29,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,ACCEPT,5,3,5,4,True,REVISE,False,False,True,True,True,False,The objective pairing of service level and cost minimization is plainly stated in the chunk. Easy but valid.
claude,Claude,20260330_003121Z_local_local,item_3,local-local,local/local,easy,C|B|A|D,C:\Users\kadek\source\repos\domainRag\example1\Newsboy Model with Pricing.pdf,REJECT,2,2,1,2,False,REVISE,False,True,True,False,False,False,"The question stem is None and the answer options are themselves full questions, indicating a generation failure that produced a multi-stem item rather than a single MCQ. The correct_key C|B|A|D is meaningless, making this item unscoreable and irreparable by revision alone."
codex,Codex,20260330_003121Z_local_local,item_3,local-local,local/local,easy,C|B|A|D,C:\Users\kadek\source\repos\domainRag\example1\Newsboy Model with Pricing.pdf,REJECT,2,1,1,2,False,REVISE,False,True,False,False,False,False,"This is not a valid MCQ. The stem is missing, each option is itself a separate question, and the answer key maps to all four options. The structure is broken enough that reject is safer than revise."
claude,Claude,20260330_003121Z_local_local,item_30,local-local,local/local,easy,C,C:\Users\kadek\source\repos\domainRag\example1\chapter-16.pptx,ACCEPT,5,3,5,5,True,ACCEPT,True,False,True,True,True,True,"Chunk explicitly mentions benchmarking provides a 'standardized common language' for comparing logistics operations, directly verifying answer C. Distractors A, B, D use extreme language ('guarantees', 'eliminates') that makes them dismissible but plausible enough for an easy item."
codex,Codex,20260330_003121Z_local_local,item_30,local-local,local/local,easy,C,C:\Users\kadek\source\repos\domainRag\example1\chapter-16.pptx,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Benchmarking/common-language linkage is directly supported and the keyed answer is unambiguous.
claude,Claude,20260330_003121Z_local_local,item_31,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Supply Chain Management.pdf,ACCEPT,5,3,5,5,True,REVISE,False,False,True,True,True,True,The chunk provides a verbatim match to answer B. The item is well-structured and clean; the reviewer's REVISE appears to be overly conservative for this straightforward and well-grounded item — ACCEPT is warranted.
codex,Codex,20260330_003121Z_local_local,item_31,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Supply Chain Management.pdf,ACCEPT,5,3,5,5,True,REVISE,False,False,True,True,True,False,A standard definition item for SCM. Distractors are uneven but not enough to require revision.
claude,Claude,20260330_003121Z_local_local,item_32,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,REVISE,5,4,4,4,True,REVISE,True,False,True,True,True,True,A near-duplicate of item_13 with the same 'does NOT apply' framing; the chunk clearly supports identifying A as the false statement. The negation phrasing adds complexity above typical easy-level and the item should be re-evaluated for deduplication.
codex,Codex,20260330_003121Z_local_local,item_32,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,ACCEPT,5,4,5,4,True,REVISE,False,False,True,True,True,False,Same judgment as item 13. The forecasting-principles question is supported and the keyed answer is correct.
claude,Claude,20260330_003121Z_local_local,item_33,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,ACCEPT,5,4,5,4,True,ACCEPT,True,False,True,True,True,True,"Chunk explicitly states the ZIO condition I_{t-1}·y_t=0 for all t, directly grounding answer B. The distractors present plausible misconceptions about when ordering occurs, appropriate for a moderately technical easy item."
codex,Codex,20260330_003121Z_local_local,item_33,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Clean ZIO definition item. The theorem statement supports the keyed answer directly.
claude,Claude,20260330_003121Z_local_local,item_34,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\chapter-16.pptx,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,"Chunk directly states the comparative and continuous-improvement purpose of benchmarking, perfectly grounding answer B. All distractors contradict the chunk's explicit description."
codex,Codex,20260330_003121Z_local_local,item_34,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\chapter-16.pptx,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Benchmarking purpose is explicit in the source and the distractors are serviceable for an easy item.
claude,Claude,20260330_003121Z_local_local,item_35,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,ACCEPT,5,4,4,4,True,REVISE,False,False,True,True,True,True,"Chunk directly defines the ZIO policy as ordering only when previous-period inventory is zero, grounding B. This is nearly identical to item_33 (ZIO); the reviewer's REVISE may reflect concern about duplication rather than item quality — the item itself is clean and ACCEPT is warranted."
codex,Codex,20260330_003121Z_local_local,item_35,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,ACCEPT,5,4,5,5,True,REVISE,False,False,True,True,True,False,"This is functionally a valid ZIO question and the keyed answer is supported. I would accept it, though the stem could be tightened slightly."
claude,Claude,20260330_003121Z_local_local,item_36,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\supplychainmanagement-ppt.pptx,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,"Chunk provides a verbatim definition of physical flow matching answer A exactly. Distractors B (information flow), C (financial flow), D (human resource flow) are all plausible supply chain flow types, with C and D requiring knowledge to eliminate."
codex,Codex,20260330_003121Z_local_local,item_36,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\supplychainmanagement-ppt.pptx,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Clean recall item directly grounded in the physical-flow definition.
claude,Claude,20260330_003121Z_local_local,item_37,local-local,local/local,easy,B|C,C:\Users\kadek\source\repos\domainRag\example1\Newsboy Model with Pricing.pdf,REJECT,2,2,1,2,False,REVISE,False,True,True,False,False,False,Question stem is None with multi-part correct key B|C — a structurally broken multi-question item that cannot function as a single MCQ.
codex,Codex,20260330_003121Z_local_local,item_37,local-local,local/local,easy,B|C,C:\Users\kadek\source\repos\domainRag\example1\Newsboy Model with Pricing.pdf,REJECT,2,1,1,2,False,REVISE,False,True,False,False,False,False,Malformed multi-question row with no usable stem and multi-answer key. Reject.
claude,Claude,20260330_003121Z_local_local,item_38,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,REVISE,5,3,4,4,True,REVISE,True,False,True,True,False,True,"Chunk directly supports answer B. Distractor D claims risk pooling eliminates the precautionary motive entirely, which is too extreme but partially plausible for test-takers who confuse risk reduction with risk elimination; item quality is slightly uneven across distractors."
codex,Codex,20260330_003121Z_local_local,item_38,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,REVISE,5,2,5,5,True,REVISE,True,True,True,True,False,True,"Core concept is correct, but distractors C and D are too obviously bad and do not create a strong MCQ. Revise distractors."
claude,Claude,20260330_003121Z_local_local,item_39,local-local,local/local,easy,A|B|C,C:\Users\kadek\source\repos\domainRag\example1\Newsboy Model with Pricing.pdf,REJECT,2,2,1,2,False,ACCEPT,False,True,True,False,False,False,"Question stem is None with a multi-part correct key A|B|C, indicating a garbled multi-question generation. The automated reviewer's ACCEPT decision appears to be erroneous for this structurally invalid item."
codex,Codex,20260330_003121Z_local_local,item_39,local-local,local/local,easy,A|B|C,C:\Users\kadek\source\repos\domainRag\example1\Newsboy Model with Pricing.pdf,REJECT,2,1,1,2,False,ACCEPT,False,True,False,False,False,False,Missing stem plus multi-answer key and contradictory option set. Reject rather than attempting local repair.
claude,Claude,20260330_003121Z_local_local,item_4,local-local,local/local,easy,D,C:\Users\kadek\source\repos\domainRag\example1\Inventory and EOQ Models.pdf,REJECT,3,3,1,3,False,REVISE,False,True,True,True,False,False,"The question stem is None; options are declarative statements about EOQ without a guiding question. While the correct answer D (EOQ assumptions) is supported by chunk content, the absence of a stem makes this unacceptable as an MCQ item without a complete rewrite."
codex,Codex,20260330_003121Z_local_local,item_4,local-local,local/local,easy,D,C:\Users\kadek\source\repos\domainRag\example1\Inventory and EOQ Models.pdf,REVISE,4,1,1,4,True,REVISE,True,True,True,True,False,True,"The item is salvageable, but the stem is missing and option C appears correct alongside D, creating multiple valid answers. Revise by restoring the stem and rewriting C so only one option is defensibly correct."
claude,Claude,20260330_003121Z_local_local,item_40,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\supplychainmanagement-ppt.pptx,ACCEPT,5,3,5,5,True,ACCEPT,True,False,True,True,True,True,"Chunk directly states that SCM aims to maximize customer value, grounding B. Option D (increase production costs for quality) is easily dismissed; distractor quality is moderate but acceptable for an easy item."
codex,Codex,20260330_003121Z_local_local,item_40,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\supplychainmanagement-ppt.pptx,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Valid high-level SCM-goal item grounded in both retrieved chunks.
claude,Claude,20260330_003121Z_local_local,item_41,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,ACCEPT,5,3,4,5,True,ACCEPT,True,False,True,True,True,True,"Chunk directly defines risk pooling and its safety stock reduction benefit, grounding B. Option C (eliminates all safety stock) is clearly wrong from the chunk, and the item is appropriately easy. Note: this is a near-duplicate of items 1 and 38."
codex,Codex,20260330_003121Z_local_local,item_41,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Another clean risk-pooling definition item with adequate distractors for easy difficulty.
claude,Claude,20260330_003121Z_local_local,item_42,local-local,local/local,easy,D,C:\Users\kadek\source\repos\domainRag\example1\Inventory and EOQ Models.pdf,ACCEPT,5,3,4,4,True,REVISE,False,False,True,True,True,True,"Chunk explicitly defines all-units discounts with the threshold mechanism described in the question, directly grounding answer D. The reviewer's REVISE seems overly conservative — this is a clean, well-grounded item. Option C (general ordering costs) is a plausible but clearly distinct category per the chunk."
codex,Codex,20260330_003121Z_local_local,item_42,local-local,local/local,easy,D,C:\Users\kadek\source\repos\domainRag\example1\Inventory and EOQ Models.pdf,ACCEPT,5,3,5,5,True,REVISE,False,False,True,True,True,False,"The all-units discount definition is directly supported. The distractors are weaker than ideal, but the item is still acceptable as an easy concept check."
claude,Claude,20260330_003121Z_local_local,item_43,local-local,local/local,easy,D,C:\Users\kadek\source\repos\domainRag\example1\Michael-Adjemian.pptx,ACCEPT,5,4,4,5,True,ACCEPT,True,False,True,True,True,True,"Chunk on ocean freight rate determinants includes port congestion as a demand-side factor driving rates up, grounding D. The other three distractors all represent factors that would decrease rates, making them plausible but clearly wrong for someone who understands supply/demand dynamics."
codex,Codex,20260330_003121Z_local_local,item_43,local-local,local/local,easy,D,C:\Users\kadek\source\repos\domainRag\example1\Michael-Adjemian.pptx,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Strong source alignment and clean causal distinction among the freight-rate drivers.
claude,Claude,20260330_003121Z_local_local,item_44,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,REVISE,4,3,4,4,True,REVISE,True,True,True,True,False,True,"Chunk supports that the high pre-1998 breakeven prevented sufficient stock; revenue sharing reduced the effective cost per copy (lowering the breakeven), grounding A. However, answer B (Blockbuster could afford more copies) is also directly implied by the same mechanism, creating genuine ambiguity between A and B for knowledgeable test-takers."
